modelName,dimension,segment,raceCount,logLossDelta,brierDelta,top1Delta,eceDelta
residual_c10_a10,venue,1,1641,0.021341938603518518,0.00880397788576881,0.0006093845216330607,0.0009566652860543354
residual_c10_a10,venue,10,1498,-0.004718802024502811,-0.0031415126122014136,0.00867823765020026,0.013127219028122243
residual_c10_a10,venue,11,1594,0.009268825664617841,0.0033289345933904535,-0.0012547051442910462,0.014447198359229974
residual_c10_a10,venue,12,1698,0.01591020087477446,0.0070439051082547,-0.0017667844522968323,-0.0002975203357859328
residual_c10_a10,venue,13,1349,0.010045322627972864,0.0030331384927797522,0.006671608598962209,0.031042240780794053
residual_c10_a10,venue,14,1459,0.01783742247855913,0.00752689719874966,-0.002741603838245399,0.027891302204776605
residual_c10_a10,venue,15,1657,0.0057823931244120885,0.0014910050748042636,0.0024140012070005268,-0.018062657833751224
residual_c10_a10,venue,16,1353,0.001744858213139855,0.000266718358726159,0.006651884700665134,-0.011420409611000049
residual_c10_a10,venue,17,1637,0.00015815997705903584,-0.00019816491855628726,0.0006108735491753281,0.007867018332886801
residual_c10_a10,venue,18,1776,0.00023959563612718782,-0.0024215746330338295,0.0045045045045045695,0.03540420411393762
